"","ftTrumpPre","ftTrumpPost","age"
"910",100,50,36
"911",0,0,80
"912",40,30,45
"913",40,70,57
"914",0,0,70
"915",85,85,53
"916",0,0,53
"917",0,0,51
"918",100,100,80
"919",0,0,50
"920",100,100,57
"921",5,50,41
"922",85,100,37
"923",20,-6,76
"924",-9,80,80
"925",15,0,63
"926",100,100,80
"927",30,40,40
"928",100,-6,53
"929",0,0,37
"930",30,30,63
"931",0,-6,69
"932",15,30,29
"933",30,-6,55
"934",0,0,74
"935",0,0,63
"936",20,10,65
"937",100,100,26
"938",85,85,63
"939",30,70,39
"940",15,0,56
"941",60,55,28
"942",0,-6,50
"943",15,5,45
"944",50,30,35
"945",100,100,73
"946",100,100,37
"947",70,85,53
"948",0,0,27
"949",100,100,45
"950",0,-7,45
"951",70,100,40
"952",0,0,32
"953",100,100,58
"954",50,15,70
"955",15,0,78
"956",100,100,71
"957",0,0,58
"958",0,0,62
"959",70,60,27
"960",0,30,23
"961",0,0,41
"962",60,30,57
"963",100,100,45
"964",85,-9,57
"965",70,100,26
"966",-9,0,66
"967",0,0,63
"968",0,40,65
"969",0,0,63
"970",0,0,34
"971",0,0,60
"972",0,0,50
"973",85,100,45
"974",0,0,34
"975",0,0,-9
"976",0,0,41
"977",100,100,62
"978",85,70,46
"979",15,0,43
"980",0,0,80
"981",0,-7,35
"982",-9,50,71
"983",30,0,31
"984",70,60,30
"985",15,15,38
"986",0,15,67
"987",50,40,60
"988",0,-7,27
"989",100,99,67
"990",0,0,34
"991",52,55,34
"992",90,90,-9
"993",85,85,46
"994",10,10,43
"995",100,-6,74
"996",30,30,51
"997",85,90,51
"998",85,85,66
"999",0,0,70
"1000",60,85,70
"1001",50,50,-9
"1002",100,85,66
"1003",0,0,32
"1004",0,30,54
"1005",100,75,23
"1006",0,0,41
"1007",70,-6,30
"1008",0,0,43
"1009",100,-6,41
"1010",0,0,78
"1011",85,85,55
"1012",85,100,80
"1013",60,60,58
"1014",85,-6,50
"1015",0,0,33
"1016",100,100,24
"1017",100,100,80
"1018",85,85,-9
"1019",15,0,48
"1020",8,15,63
"1021",0,0,36
"1022",40,0,-9
"1023",85,85,50
"1024",100,-9,62
"1025",15,15,80
"1026",85,70,66
"1027",0,0,43
"1028",0,0,-9
"1029",0,0,39
"1030",0,0,71
"1031",100,100,64
"1032",100,100,52
"1033",0,0,36
"1034",100,-6,51
"1035",70,85,56
"1036",0,0,65
"1037",85,-6,21
"1038",0,0,41
"1039",0,0,37
"1040",0,0,72
"1041",60,70,42
"1042",0,0,79
"1043",15,0,32
"1044",85,85,43
"1045",0,0,23
"1046",0,0,36
"1047",100,100,60
"1048",100,100,29
"1049",0,0,66
"1050",100,100,78
"1051",100,100,70
"1052",15,-6,80
"1053",100,90,33
"1054",0,0,27
"1055",30,60,61
"1056",0,0,35
"1057",100,100,41
"1058",10,0,30
"1059",-9,0,72
"1060",70,70,33
"1061",100,100,35
"1062",100,100,33
"1063",70,70,74
"1064",15,0,38
"1065",85,85,80
"1066",0,0,46
"1067",30,-7,30
"1068",100,-6,57
"1069",90,50,50
"1070",50,30,24
"1071",0,0,80
"1072",100,95,59
"1073",0,0,74
"1074",40,50,39
"1075",0,0,75
"1076",0,0,30
"1077",99,95,-9
"1078",100,-9,80
"1079",0,0,31
"1080",40,60,69
"1081",0,0,56
"1082",100,100,75
"1083",0,0,65
"1084",0,0,29
"1085",85,70,72
"1086",100,-6,60
"1087",15,0,25
"1088",100,-6,78
"1089",60,60,60
"1090",85,85,53
"1091",15,0,66
"1092",40,50,35
"1093",50,60,61
"1094",0,0,46
"1095",60,50,70
"1096",85,100,78
"1097",-9,-9,63
"1098",100,-6,40
"1099",0,0,51
"1100",100,100,-9
"1101",5,5,41
"1102",100,100,80
"1103",30,20,25
"1104",70,70,41
"1105",0,0,29
"1106",0,0,57
"1107",40,15,51
"1108",70,70,31
"1109",0,0,58
"1110",60,50,53
"1111",100,85,45
"1112",0,0,54
"1113",15,0,55
"1114",100,100,76
"1115",100,100,53
"1116",40,15,56
"1117",0,0,49
"1118",50,40,-9
"1119",15,0,55
"1120",15,15,72
"1121",85,100,57
"1122",0,0,30
"1123",0,0,37
"1124",30,0,74
"1125",0,0,38
"1126",85,100,68
"1127",30,25,75
"1128",0,0,71
"1129",85,85,68
"1130",0,0,32
"1131",0,0,50
"1132",100,100,65
"1133",0,0,35
"1134",30,-6,26
"1135",0,0,37
"1136",85,100,78
"1137",100,50,42
"1138",100,100,42
"1139",85,70,71
"1140",15,15,58
"1141",0,0,57
"1142",-9,0,61
"1143",20,20,37
"1144",40,-9,49
"1145",-9,-9,80
"1146",100,70,34
"1147",0,0,71
"1148",85,85,42
"1149",85,85,62
"1150",85,100,63
"1151",0,0,27
"1152",60,15,38
"1153",90,85,33
"1154",100,100,63
"1155",15,40,38
"1156",100,100,72
"1157",0,0,26
"1158",60,70,35
"1159",100,100,61
"1160",90,60,58
"1161",75,75,39
"1162",0,0,54
"1163",85,86,52
"1164",100,100,69
"1165",0,0,60
"1166",15,15,67
"1167",0,0,47
"1168",100,100,67
"1169",0,0,57
"1170",0,0,31
"1171",-9,15,73
"1172",95,85,70
"1173",85,70,80
"1174",60,50,61
"1175",40,40,41
"1176",-9,70,68
"1177",0,0,32
"1178",50,0,65
"1179",1,1,28
"1180",0,0,33
"1181",80,60,30
"1182",100,100,64
"1183",85,60,61
"1184",0,0,49
"1185",0,0,62
"1186",60,30,39
"1187",60,15,-9
"1188",100,100,66
"1189",15,0,62
"1190",70,-6,80
"1191",0,15,62
"1192",70,-6,47
"1193",0,0,42
"1194",75,70,34
"1195",85,85,-9
"1196",100,75,60
"1197",0,0,54
"1198",0,0,35
"1199",100,100,73
"1200",100,100,80
"1201",95,95,64
"1202",70,60,32
"1203",85,100,56
"1204",100,100,68
"1205",70,70,67
"1206",85,85,67
"1207",0,0,72
"1208",100,-6,58
"1209",40,0,57
"1210",0,0,39
"1211",5,0,23
"1212",-9,100,63
"1213",-9,100,-9
"1214",15,45,37
"1215",100,100,69
"1216",100,100,42
"1217",15,0,66
"1218",0,0,69
"1219",0,0,72
"1220",85,-6,38
"1221",0,0,66
"1222",0,0,58
"1223",0,0,27
"1224",0,0,28
"1225",0,0,50
"1226",0,0,25
"1227",0,0,53
"1228",0,0,80
"1229",85,50,-9
"1230",100,-6,70
"1231",85,85,64
"1232",0,0,59
"1233",85,70,77
"1234",0,0,49
"1235",90,100,51
"1236",85,85,69
"1237",40,15,69
"1238",0,0,30
"1239",0,0,31
"1240",0,0,26
"1241",100,100,68
"1242",-9,50,67
"1243",0,20,46
"1244",0,0,40
"1245",90,100,23
"1246",30,15,72
"1247",0,0,38
"1248",100,100,76
"1249",60,70,73
"1250",10,15,34
"1251",0,-9,36
"1252",100,100,80
"1253",100,100,76
"1254",0,0,66
"1255",50,50,74
"1256",0,0,44
"1257",0,0,30
"1258",100,85,61
"1259",70,70,79
"1260",100,100,23
"1261",0,0,38
"1262",0,0,75
"1263",85,85,29
"1264",40,40,33
"1265",80,100,59
"1266",0,0,72
"1267",0,-6,49
"1268",50,-6,52
"1269",100,100,52
"1270",0,0,41
"1271",0,0,-9
"1272",85,85,52
"1273",0,0,67
"1274",0,0,53
"1275",15,15,34
"1276",50,60,71
"1277",70,85,28
"1278",85,85,66
"1279",0,60,69
"1280",0,0,46
"1281",0,50,42
"1282",15,0,24
"1283",65,40,53
"1284",0,0,47
"1285",0,0,41
"1286",0,0,80
"1287",70,90,72
"1288",0,0,31
"1289",0,0,21
"1290",0,0,42
"1291",0,0,40
"1292",-9,-9,80
"1293",0,0,76
"1294",0,0,71
"1295",0,0,38
"1296",15,50,33
"1297",7,5,41
"1298",40,15,62
"1299",100,100,73
"1300",0,0,28
"1301",0,0,21
"1302",85,100,64
"1303",100,100,58
"1304",0,0,26
"1305",100,100,23
"1306",0,0,61
"1307",0,0,50
"1308",0,0,67
"1309",70,85,35
"1310",100,70,68
"1311",85,85,61
"1312",0,0,32
"1313",100,85,78
"1314",0,0,65
"1315",0,0,19
"1316",15,0,25
