"","V202290x","V201507x","V202073"
"737",4,61,1
"738",1,24,-1
"739",3,58,2
"740",4,47,-1
"741",4,63,-1
"742",5,64,2
"743",4,55,-1
"744",4,41,-1
"745",4,68,-1
"746",4,80,2
"747",4,25,1
"748",2,66,2
"749",6,63,2
"750",4,34,-1
"751",-6,55,-6
"752",1,73,2
"753",6,80,2
"754",4,45,1
"755",2,50,2
"756",1,54,2
"757",-7,70,-7
"758",4,28,-1
"759",4,43,1
"760",1,76,2
"761",4,39,1
"762",2,50,2
"763",4,74,1
"764",4,27,2
"765",1,76,2
"766",4,33,2
"767",4,56,2
"768",2,71,-1
"769",2,69,2
"770",6,48,2
"771",7,57,1
"772",6,63,1
"773",4,80,-1
"774",4,38,1
"775",4,80,-1
"776",1,71,2
"777",1,58,-1
"778",2,66,2
"779",4,45,2
"780",4,31,1
"781",4,49,2
"782",4,80,1
"783",-6,-9,-6
"784",4,61,1
"785",4,26,2
"786",4,45,5
"787",4,32,1
"788",5,51,1
"789",2,35,2
"790",4,56,2
"791",4,46,1
"792",4,35,2
"793",4,42,-1
"794",4,54,-1
"795",4,-9,1
"796",5,23,2
"797",2,33,1
"798",6,73,1
"799",2,54,-1
"800",4,36,-1
"801",-6,25,-6
"802",4,80,1
"803",2,69,1
"804",4,61,2
"805",4,55,1
"806",2,79,1
"807",3,80,1
"808",4,-9,-9
"809",1,60,2
"810",4,43,-1
"811",4,41,1
"812",4,36,2
"813",4,73,1
"814",4,75,1
"815",2,62,2
"816",2,73,2
"817",1,33,2
"818",2,80,2
"819",2,26,1
"820",4,52,2
"821",4,41,2
"822",4,67,1
"823",4,65,2
"824",4,69,1
"825",-6,59,-6
"826",-7,59,-7
"827",1,80,2
"828",2,70,1
"829",4,58,1
"830",3,29,2
"831",1,-9,2
"832",4,41,1
"833",1,35,5
"834",-7,36,-7
"835",4,34,-1
"836",4,53,2
"837",4,52,1
"838",4,24,1
"839",4,41,1
"840",6,76,1
"841",4,74,1
"842",4,79,1
"843",1,48,1
"844",4,62,2
"845",1,54,1
"846",4,71,1
"847",4,40,1
"848",4,36,2
"849",4,48,1
"850",4,34,-1
"851",4,58,1
"852",4,49,1
"853",2,67,1
"854",4,57,-1
"855",1,29,2
"856",4,37,1
"857",-6,79,-6
"858",-7,33,-7
"859",1,65,2
"860",2,55,-1
"861",4,68,1
"862",1,39,1
"863",1,80,2
"864",2,50,1
"865",1,57,2
"866",1,76,2
"867",4,71,2
"868",4,58,1
"869",-6,47,-6
"870",5,43,2
"871",6,22,2
"872",4,69,-1
"873",1,62,2
"874",1,73,-1
"875",2,32,2
"876",4,30,1
"877",4,47,1
"878",4,35,2
"879",2,66,2
"880",4,42,1
"881",4,25,1
"882",4,31,-1
"883",2,36,-1
"884",3,63,1
"885",1,54,-1
"886",3,64,1
"887",4,62,-1
"888",1,59,1
"889",4,74,2
"890",4,48,1
"891",3,66,1
"892",3,73,-1
"893",7,30,2
"894",1,63,2
"895",4,69,1
"896",4,61,1
"897",4,43,2
"898",4,68,2
"899",4,58,2
"900",-6,58,-6
"901",4,65,2
"902",2,78,-1
"903",1,54,2
"904",4,72,1
"905",3,69,2
"906",1,52,2
"907",4,59,1
"908",4,30,1
"909",-6,41,-6
"910",4,36,2
"911",4,80,1
"912",4,45,1
"913",4,57,-1
"914",4,70,1
"915",4,53,2
"916",4,53,1
"917",4,51,1
"918",1,80,2
"919",4,50,-1
"920",1,57,2
"921",5,41,2
"922",4,37,2
"923",-6,76,-6
"924",4,80,2
"925",4,63,1
"926",4,80,2
"927",4,40,1
"928",-6,53,-6
"929",2,37,1
"930",4,63,-1
"931",-6,69,-6
"932",4,29,1
"933",-6,55,-6
"934",4,74,1
"935",4,63,1
"936",4,65,1
"937",4,26,2
"938",4,63,2
"939",1,39,3
"940",4,56,1
